Centre,Baseline Acc,Augmented Acc,Baseline Drop,Augmented Drop
centre_A,1.0,0.998,0.0,0.0
centre_B,0.788,0.784,0.21199999999999997,0.21399999999999997
centre_C,0.638,0.636,0.362,0.362
